Date,Open,High,Low,Close,Adj Close,Volume
1994-09-07,760.510010,765.119995,760.070007,764.280029,764.280029,283770000
1994-09-08,764.739990,769.440002,764.700012,769.299988,769.299988,303060000
1994-09-09,766.210022,766.210022,761.469971,763.729980,763.729980,277410000
1994-09-12,763.559998,763.710022,759.059998,760.010010,760.010010,223400000
1994-09-13,761.859985,765.969971,761.859985,765.830017,765.830017,283030000
1994-09-14,766.280029,768.640015,765.049988,768.609985,768.609985,293060000
1994-09-15,768.409973,778.659973,768.409973,778.659973,778.659973,298230000
1994-09-16,777.729980,779.580017,773.900024,777.909973,777.909973,323300000
1994-09-19,778.130005,779.090027,776.450012,776.719971,776.719971,261540000
1994-09-20,775.820007,775.820007,766.739990,766.739990,766.739990,305630000
1994-09-21,767.130005,767.239990,758.080017,760.710022,760.710022,322330000
1994-09-22,761.799988,763.130005,758.830017,760.440002,760.440002,308590000
1994-09-23,759.880005,762.239990,756.820007,757.460022,757.460022,321030000
1994-09-26,756.950012,756.950012,752.489990,755.630005,755.630005,250460000
1994-09-27,755.140015,756.179993,753.320007,755.369995,755.369995,273720000
1994-09-28,756.119995,761.250000,756.119995,760.010010,760.010010,300240000
1994-09-29,759.700012,760.130005,756.309998,759.340027,759.340027,284260000
1994-09-30,760.340027,765.210022,759.539978,764.289978,764.289978,308100000
1994-10-03,764.469971,764.479980,760.330017,760.880005,760.880005,244890000
1994-10-04,761.039978,761.200012,747.239990,747.299988,747.299988,332850000
1994-10-05,746.190002,746.460022,737.619995,746.280029,746.280029,347710000
1994-10-06,747.950012,749.090027,743.679993,744.190002,744.190002,270210000
1994-10-07,745.229980,750.109985,745.229980,749.960022,749.960022,275060000
1994-10-10,751.330017,756.919983,751.330017,756.809998,756.809998,230260000
1994-10-11,758.369995,766.179993,758.369995,765.570007,765.570007,367590000
1994-10-12,765.320007,767.880005,764.799988,767.000000,767.000000,331570000
1994-10-13,770.099976,774.739990,767.520020,767.890015,767.890015,372980000
1994-10-14,768.349976,768.840027,764.729980,767.080017,767.080017,298120000
